a	a:
miðvikudagsmorgna	m I D v I k Y t a x s m O r t n a
miðvikudagur	m I D v I k Y t a G Y r
miðvikudegi	m I D v I k Y t ei j I
miðvikudeginum	m I D v I k Y t ei j I n Y m
miðvikudögum	m I D v I k Y t 9 G Y m
miðvörður	m I D v 9 r D Y r
miðvörðurinn	m I D v 9 r D Y r I n
miðöldum	m I: D 9 l t Y m
mjalta	m j a l_0 t a
mjaðmahnykkja	m j a D m a n_0 I h c a
mjer	m j E: r
mjálm	m j au l m
mjóhrygginn	m j ou r_0 I c I n
mjókka	m j ou h k a
mjólk	m j ou l_0 k
mjólka	m j ou l_0 k a
mjólkina	m j ou l_0 c I n a
mjólkur	m j ou l_0 k Y r
mjólkurafurðir	m j ou l_0 k Y r a v Y r D I r
mjólkurflösku	m j ou l_0 k Y r f l 9 s k Y
mjólkurframleiðslu	m j ou l_0 k Y r_0 f r a m l ei D s t l Y
mjólkurglas	m j ou l_0 k Y r k l a s
mjólkurhúsinu	m j ou l_0 k Y r_0 h u s I n Y
mjólkurhúss	m j ou l_0 k Y r h u s
mjólkurkaffi	m j ou l_0 k Y r k_h a f I
mjólkurkýr	m j ou l_0 k Y r_0 c_h i r
mjólkurmyndunar	m j ou l_0 k Y r m I n t Y n a r
mjólkursamsölunnar	m j ou l_0 k Y r_0 s a m s 9 l Y n a r
mjólkursúkkulaði	m j ou l_0 k Y r_0 s u h k Y l a D I
mjólkurvinnslu	m j ou l_0 k Y r v I n s t l Y
mjólkurvörum	m j ou l_0 k Y r v 9 r Y m
mjólkurþambarann	m j ou l_0 k Y r_0 T a m p a r a n
mjór	m j ou: r
mjóslegin	m j ou: s t l ei j I n
mjög	m j 9: G
mjöll	m j 9 t l_0
mjölnir	m j 9 l n I r
mjöðm	m j 9 D m
mjöður	m j 9: D Y r
mjúkri	m j u: k r I
mjúkur	m j u: k Y r
mobil	m ou: p i l
mobile	m ou: p ai l
mode	m ou: t
model	m O t E l
modern	m O t E r n
mogensen	m ou: E n s E n
moggabúðin	m O k a p u D I n
mogganum	m O k a n Y m
mogginn	m O c I n
mohamed	m ou h a m E t
mohammed	m ou h a m E t
moka	m O: k a
mokkakaffi	m O h k a k_h a f I
mokkasínurnar	m O h k a s i n Y r t n a r
mold	m O l t
moldarkögglar	m O l t a r_0 k_h 9 k l a r
moll	m O l
molum	m O: l Y m
moment	m ou: m E n_0 t
moms	m O m s
monaco	m ou n a k ou
monde	m O n t
monitoring	m O n I t O r i N
monkey	m O N_0 k i
monkeys	m O N_0 k i s
monster	m O n s t E r
monsters	m O n s t E r_0 s
mont	m O n_0 t
monta	m O n_0 t a
montoya	m O n t_h Oi j a
montpellier	m O n_0 t p_h E l i j E r
mood	m u: t
moody's	m u: t i s
moon	m u: n
moore	m O: r
mor	m O: r
moral	m O: r a l
more	m O: r
morgan	m O r k a n
morgna	m O r t n a
morgnanna	m O r t n a n a
morgnar	m O r t n a r
morgnaði	m O r t n a D I
morgni	m O r t n I
morgun	m O r k Y n
morgunandakt	m O r k Y n a n t a x t
morgunblaðinu	m O r k Y n p l a D I n Y
morgunblaðið	m O r k Y n p l a D I D
morgunblaðsins	m O r k Y n p l a D s I n s
morgundaginn	m O r k Y n t ai j I n
morgunfréttir	m O r k Y n f r j E h t I r
morguninn	m O r k Y n I n
morgunkaffi	m O r k u n k_h a f I
morgunkaffið	m O r k u n k_h a f I D
morgunkorni	m O r k u n k_h O r t n I
morgunmat	m O r k Y n m a t
morgunmatur	m O r k Y n m a t Y r
morgunn	m O r k Y n
morguns	m O r k Y n s
morgunsjónvarp	m O r k Y n s j ou n v a r_0 p
morgunskýrslunni	m O r k Y n s c i r_0 s t l Y n I
morgunsárið	m O r k Y n s au r I D
morgunsöngur	m O r k Y n s 9i N k Y r
morguntíð	m O r k Y n t_h i D
morguntónar	m O r k Y n t_h ou n a r
morgunverður	m O r k Y n v E r D Y r
morgunvöktum	m O r k Y n v 9 x t Y m
morgunútvarp	m O r k Y n u t v a r_0 p
morgunútvarpið	m O r k Y n u t v a r_0 p I D
morris	m O r I s
morrison	m O r I s O n
morten	m O r_0 t E n
morthens	m O r_0 t E n s
morð	m O r D
morðin	m O r D I n
morðingi	m O r D i J c I
morðinginn	m O r D i J c I n
morðingjann	m O r D i J c a n
morðið	m O r D I D
morðvopnið	m O r D v O h p n I D
moscow	m O s k ou
moses	m ou: s E s
mosfellsbæ	m O: s f E l s p ai
mosfellsbæjar	m O: s f E l s p ai j a r
mosfellsbær	m O: s f E l s p ai r
mosfellsdal	m O: s f E l s t a l
mosfellshrepps	m O: s f E l s r_0 E h p s
mosfellskirkju	m O: s f E l s c_h I r_0 c Y
mosfellssveit	m O: s f E l s v ei t
mosi	m O: s I
moska	m O s k a
mosku	m O s k Y
moskusrottum	m O s k Y s r O h t Y m
moskva	m O s k v a
moskvu	m O s k v Y
moss	m O s
mostly	m ou s t l i
mother	m O D E r
motion	m ou: s j O n
motors	m ou: t_h O r_0 s
mottur	m O h t Y r
mountain	m au n_0 t ei n
mountains	m au n_0 t ei n s
mourinho	m u: r I n O
mouse	m au: s
mouth	m au: T
move	m u: v
moved	m u: v t
movement	m u: v m E n_0 t
movements	m u: v m E n_0 t s
movie	m u: v i
moving	m u: v i N
moyes	m Oi s
mozart	m ou: s a r_0 t
moðkassann	m O D k_h a s a n
mr	m I s t 9 r
ms	E m E s
mubarak	m u p a r a k
much	m 9 t s
mueller	m Y l E r
muggur	m Y k Y r
mugison	m u: c I s O n
muldur	m Y l t Y r
mumma	m Y m a
mummi	m Y m I
mun	m Y: n
muna	m Y: n a
munar	m Y: n a r
munað	m Y: n a D
munaðarleysingjahæli	m Y: n a D a r l ei s i J c a h ai l I
munaði	m Y: n a D I
mund	m Y n t
mundi	m Y n t I
mundir	m Y n t I r
mundu	m Y n t Y
mundum	m Y n t Y m
muni	m Y: n I
muninn	m Y: n I n
munir	m Y: n I r
munið	m Y: n I D
munkar	m u N_0 k a r
munkarnir	m u N_0 k a r t n I r
munkinum	m u J_0 c I n Y m
munkum	m u N_0 k Y m
munkunum	m u N_0 k O n Y m
munkur	m u N_0 k Y r
munn	m Y n
munni	m Y n I
munninn	m Y n I n
munnlega	m Y n l E G a
munnlegan	m Y n l E G a n
munnlegum	m Y n l E G Y m
munnur	m Y n Y r
munnvatni	m Y n v a h t n I
munnvatninu	m Y n v a h t n I n Y
munnvatnskúlum	m Y n v a s k u l Y m
munstur	m Y n s t Y r
munt	m Y n_0 t
munu	m Y: n Y
munum	m Y: n Y m
munur	m Y: n Y r
munurinn	m Y: n Y r I n
mura	m Y: r a
murder	m 9 r t E r
murderer	m 9 r t E r E r
murders	m 9 r t E r_0 s
murphy	m 9 r_0 f I
murray	m 9 r ei
musical	m j u: s I k a l
musk	m 9 s k
must	m 9 s t
musterisriddarinn	m Y s t E r I s r I t a r I n
mygla	m I k l a
mylla	m I l a
mylsna	m I l s t n a
mynd	m I n t
mynda	m I n t a
myndaflokkur	m I n t a f l O h k Y r
myndamöppuna	m I n t a m 9 h p Y n a
myndanna	m I n t a n a
myndapörin	m I n t a p_h 9 r I n
myndar	m I n t a r
myndarinnar	m I n t a r I n a r
myndarlega	m I n t a r l E G a
myndarlegi	m I n t a r l ei j I
myndarlegur	m I n t a r l E G Y r
myndarskap	m I n t a r_0 s k a p
myndast	m I n t a s t
myndasyrpu	m I n t a s I r_0 p Y
myndatöku	m I n t a t_h 9 k Y
myndavél	m I n t a v j E l
myndavélar	m I n t a v j E l a r
myndavélina	m I n t a v j E l I n a
myndað	m I n t a D
myndaði	m I n t a D I
myndaðist	m I n t a D I s t
myndband	m I n t p a n t
myndbandaskráin	m I n t p a n t a s k r au I n
myndbandi	m I n t p a n t I
myndbandinu	m I n t p a n t I n Y
myndbandið	m I n t p a n t I D
myndbreyttan	m I n t p r ei h t a n
myndbönd	m I n t p 9 n t
myndböndum	m I n t p 9 n t Y m
myndefni	m I n t E p n I
myndi	m I n t I
myndin	m I n t I n
myndina	m I n t I n a
myndinni	m I n t I n I
myndir	m I n t I r
myndirnar	m I n t I r t n a r
myndist	m I n t I s t
myndlist	m I n t l I s t
myndlistar	m I n t l I s t a r
myndlistarmanna	m I n t l I s t a r m a n a
myndlistarmaður	m I n t l I s t a r m a D Y r
myndlistarsýning	m I n t l I s t a r_0 s i n i N k
myndlistarsýningar	m I n t l I s t a r_0 s i n i N k a r
myndmennt	m I n t m E n_0 t
myndrænt	m I n t r ai n_0 t
myndskeið	m I n t s c ei D
myndskeiði	m I n t s c ei D I
myndstimpla	m I n t s t I m_0 p l a
myndu	m I n t Y
myndum	m I n t Y m
myndun	m I n t Y n
myndunum	m I n t O n Y m
mynduð	m I n t Y D
mynduðu	m I n t Y D Y
mynduðust	m I n t Y D Y s t
myndvarpi	m I n t v a r_0 p I
myndvinnsluforrit	m I n t v I n s t l Y f O r I t
mynstur	m I n s t Y r
mynt	m I n_0 t
myntbandalagi	m I n_0 t p a n t a l ai j I
myntbandalaginu	m I n_0 t p a n t a l ai j I n Y
myntsafn	m I n_0 t s a p n_0
myntum	m I n_0 t Y m
myrkri	m I r_0 k r I
myrkrinu	m I r_0 k r I n Y
myrkrið	m I r_0 k r I D
myrkum	m I r_0 k Y m
myrkur	m I r_0 k Y r
myrkvi	m I r_0 k v I
myrt	m I r_0 t
myrti	m I r_0 t I
myrtir	m I r_0 t I r
myrtur	m I r_0 t Y r
myrða	m I r D a
mysa	m I: s a
mystery	m I s t E r i
má	m au:
máfar	m au: v a r
mági	m au: j I
mágur	m au: G Y r
mál	m au: l
mála	m au: l a
málaferli	m au: l a f E r t l I
málaferlum	m au: l a f E r t l Y m
málaflokk	m au: l a f l O h k
málaflokka	m au: l a f l O h k a
málaflokki	m au: l a f l O h c I
málaflokkinn	m au: l a f l O h c I n
málaflokknum	m au: l a f l O h k n Y m
málaflokks	m au: l a f l O h k s
málaflokksins	m au: l a f l O h k s I n s
málaflokkum	m au: l a f l O h k Y m
málaflokkur	m au: l a f l O h k Y r
málamiðlun	m au: l a m I D l Y n
málanna	m au: l a n a
málari	m au: l a r I
málatilbúnað	m au: l a t_h I l p u n a D
málatilbúnaði	m au: l a t_h I l p u n a D I
málatilbúnaður	m au: l a t_h I l p u n a D Y r
málavextir	m au: l a v E k s t I r
málað	m au: l a D
málaði	m au: l a D I
málband	m au l p a n t
málefna	m au: l E p n a
málefnaleg	m au: l E p n a l E G
málefnalega	m au: l E p n a l E G a
málefnalegum	m au: l E p n a l E G Y m
málefni	m au l E p n I
málefnið	m au: l E p n I D
málefnum	m au: l E p n Y m
málfar	m au l f a r
málflutning	m au l f l Y h t n i N k
málflutningi	m au l f l Y h t n i J c I
málflutningsþóknun	m au l f l Y h t n I N s T ou h k n Y n
málflutningur	m au l f l Y h t n i N k Y r
málfrelsi	m au l f r E l s I
málfræði	m au l f r ai D I
málfríði	m au l f r i D I
málfríður	m au l f r i D Y r
máli	m au: l I
málin	m au: l I n
málinu	m au: l I n Y
málið	m au: l I D
málmey	m au l m ei
málmurinn	m au l m Y r I n
málning	m au l i N k
málningu	m au l i N k Y
málrækt	m au l r ai x t
máls	m au l s
málsaðila	m au l s a D I l a
málsaðilar	m au l s a D I l a r
málsgrein	m au l s k r ei n
málsháttur	m au l s h au h t Y r
málshöfðun	m au l s h 9 v D Y n
málsins	m au l s I n s
málskostnað	m au l s k_h O s t n a D
málskostnaðar	m au l s k_h O s t n a D a r
málskostnaðarreikningi	m au l s k_h O s t n a D a r ei h k n i J c I
málskostnaður	m au l s k_h O s t n a D Y r
málslið	m au l s t l I D
málsmeðferð	m au l s m E D f E r D
málstað	m au l s t a D
málsvarnarlaun	m au l s v a r t n a r l 9i n
málsástæðu	m au l s au s t ai D Y
málsástæðum	m au l s au s t ai D Y m
málsástæður	m au l s au s t ai D Y r
málsókn	m au l s ou h k n
máltíð	m au l t_h i D
máltíðinni	m au l t_h i D I n I
málum	m au: l Y m
málunum	m au: l O n Y m
málverk	m au l v E r_0 k
málverkið	m au l v E r_0 c I D
málverksins	m au l v E r_0 k s I n s
málverkunum	m au l v E r_0 k O n Y m
málþing	m au l T i N k
málþingi	m au l T i J c I
málþingið	m au l T i J c I D
málþings	m au l T i N s
mána	m au: n a
mánafoss	m au: n a f O s
mánaturns	m au: n a t_h Y r_0 s
mánaða	m au: n a D a
mánaðamót	m au: n a D a m ou t
mánaðamótin	m au: n a D a m ou t I n
mánaðar	m au: n a D a r
mánaðarins	m au: n a D a r I n s
mánaðarlaun	m au: n a D a r l 9i n
mánaðarlega	m au: n a D a r l E G a
máni	m au: n I
mánudag	m au: n Y t a G
mánudaga	m au: n Y t a G a
mánudaginn	m au: n Y t ai j I n
mánudagskvöld	m au: n Y t a x s k_h v 9 l t
mánudagskvöldið	m au: n Y t a x s k_h v 9 l t I D
mánudagur	m au: n Y t a G Y r
mánudegi	m au: n Y t ei j I
mánudeginum	m au: n Y t ei j I n Y m
mánudögum	m au: n Y t 9 G Y m
mánuð	m au: n Y D
mánuði	m au: n Y D I
mánuðina	m au: n Y D I n a
mánuðinn	m au: n Y D I n
mánuðinum	m au: n Y D I n Y m
mánuðir	m au: n Y D I r
mánuðum	m au: n Y D Y m
mánuður	m au: n Y D Y r
már	m au: r
más	m au: s
másson	m au: s O n
mát	m au: t
máta	m au: t a
mátt	m au h t
máttarstólpum	m au h t a r_0 s t ou l_0 p Y m
máttarvalda	m au h t a r v a l t a
mátti	m au h t I
máttir	m au h t I r
máttlausa	m au h t l 9i s a
máttlitlir	m au h t l I h t l I r
máttlítil	m au h t l i t I l
máttu	m au h t Y
máttvana	m au h t v a n a
mæddi	m ai t I
mæddur	m ai t Y r
mæla	m ai: l a
mælast	m ai: l a s t
mæld	m ai l t
mældist	m ai l t I s t
mældur	m ai l t Y r
mældust	m ai l t Y s t
mælendaskrá	m ai: l E n t a s k r au
mæli	m ai: l I
mælikvarða	m ai: l I k_h v a r D a
mælikvarði	m ai: l I k_h v a r D I
mæling	m ai: l i N k
mælinga	m ai: l i N k a
mælingar	m ai: l i N k a r
mælingu	m ai: l i N k Y
mælingum	m ai: l i N k Y m
mælir	m ai: l I r
mælist	m ai: l I s t
mælst	m ai l s t
mælt	m ai l_0 t
mælti	m ai l_0 t I
mæltist	m ai l_0 t I s t
mæltu	m ai l_0 t Y
mæltum	m ai l_0 t Y m
mælum	m ai: l Y m
mæna	m ai: n a
mæst	m ai s t
mæta	m ai: t a
mætast	m ai: t a s t
mætavel	m ai: t a v E l
mæti	m ai: t I
mæting	m ai: t i N k
mætir	m ai: t I r
mætt	m ai h t
mætti	m ai h t I
mættir	m ai h t I r
mættu	m ai h t Y
mættum	m ai h t Y m
mættur	m ai h t Y r
mættust	m ai h t Y s t
mætum	m ai: t Y m
mætur	m ai: t Y r
mæðgur	m ai D k Y r
mæði	m ai: D I
mæðra	m ai D r a
mæðrastyrksnefnd	m ai D r a s t I r_0 k s n E m t
mæður	m ai: D Y r
mér	m j E: r
mí	m i:
mía	m i: j a
míga	m i: G a
mílanó	m i: l a n ou
mílna	m i l n a
mílur	m i: l Y r
mín	m i: n
mína	m i: n a
mínar	m i: n a r
mínir	m i: n I r
míns	m i n s
mínu	m i: n Y
mínum	m i: n Y m
mínus	m i: n Y s
mínúta	m i: n u t a
mínútna	m i: n u h t n a
mínútu	m i: n u t Y
mínútum	m i: n u t Y m
mínútunum	m i: n u t O n Y m
mínútur	m i: n u t Y r
mínúturnar	m i: n u t Y r t n a r
módel	m ou: t E l
mógilsá	m ou: c I l s au
mólendi	m ou: l E n t I
mónakó	m ou: n a k_h ou
mósesdóttir	m ou: s E s t ou h t I r
mót	m ou: t
móta	m ou: t a
mótaröðinni	m ou: t a r 9 D I n I
mótast	m ou: t a s t
mótað	m ou: t a D
mótbára	m ou t p au r a
mótefni	m ou: t E p n I
mótfallinn	m ou: t f a t l I n
mótherja	m ou: t h E r j a
móti	m ou: t I
mótinu	m ou: t I n Y
mótið	m ou: t I D
mótlæti	m ou t l ai t I
mótmæla	m ou t m ai l a
mótmælenda	m ou t m ai l E n t a
mótmælendum	m ou t m ai l E n t Y m
mótmælendur	m ou t m ai l E n t Y r
mótmæli	m ou t m ai l I
mótmælin	m ou t m ai l I n
mótmælir	m ou t m ai l I r
mótmælt	m ou t m ai l_0 t
mótmælti	m ou t m ai l_0 t I
mótmæltu	m ou t m ai l_0 t Y
mótmælum	m ou t m ai l Y m
mótmælunum	m ou t m ai l O n Y m
mótorhjól	m ou: t O r C ou l
móts	m ou t s
mótsins	m ou t s I n s
mótspyrnu	m ou t s p I r t n Y
mótsögn	m ou t s 9 k n_0
móttaka	m ou t a k a
móttekið	m ou: t E c I D
móttöku	m ou t_h 9 k Y
móttökur	m ou: t 9 k Y r
móttökurnar	m ou t_h 9 k Y r t n a r
móttökustöð	m ou t_h 9 k Y s t 9 D
mótum	m ou: t Y m
mótun	m ou: t Y n
mótuð	m ou: t Y D
mótvægis	m ou: t v ai j I s
mótvægisaðgerðir	m ou: t v ai j I s a D c E r D I r
móðga	m ou D k a
móðir	m ou: D I r
móðirin	m ou: D I r I n
móður	m ou: D Y r
móðurbróðir	m ou: D Y r p r ou D I r
móðurfélag	m ou: D Y r_0 f j E l a G
móðurfélags	m ou: D Y r_0 f j E l a x s
móðurhlutverkið	m ou: D Y r_0 l_0 Y t v E r_0 c I D
móðurmál	m ou: D Y r m au l
móðursystir	m ou: D Y r_0 s I s t I r
móðurömmu	m ou: D Y r 9 m Y
möggu	m 9 k Y
mögnuð	m 9 k n Y D
möguleg	m 9: G Y l E G
mögulega	m 9: G Y l E G a
mögulegar	m 9: G Y l E G a r
mögulegt	m 9: G Y l E x t
mögulegu	m 9: G Y l E G Y
mögulegum	m 9: G Y l E G Y m
mögulegur	m 9: G Y l E G Y r
möguleika	m 9: G Y l ei k a
möguleikana	m 9: G Y l ei k a n a
möguleikann	m 9: G Y l ei k a n
möguleikar	m 9: G Y l ei k a r
möguleikarnir	m 9: G Y l ei k a r t n I r
möguleiki	m 9: G Y l ei c I
möguleikinn	m 9 G Y l ei c I n
möguleikum	m 9: G Y l ei k Y m
mökkur	m 9 h k Y r
möller	m 9 l E r
möltu	m 9 l_0 t Y
mömmu	m 9 m Y
mömmumorgunn	m 9 m Y m O r k Y n
mönnum	m 9 n Y m
mönnunum	m 9 n O n Y m
möppum	m 9 h p Y m
mör	m 9: r
mörg	m 9 r k
mörgu	m 9 r k Y
mörgum	m 9 r k Y m
mörk	m 9 r_0 k
mörkin	m 9 r_0 c I n
mörkunum	m 9 r_0 k O n Y m
mörkuð	m 9 r_0 k Y D
mörkuðu	m 9 r_0 k Y D Y
mörkuðum	m 9 r_0 k Y D Y m
mörtu	m 9 r_0 t Y
mörður	m 9 r D Y r
mötun	m 9: t Y n
mötuneyti	m 9: t Y n ei t I
múgurinn	m u: G Y r I n
múhameð	m u: h a m E D
múlasna	m u: l a s t n a
múlasnann	m u: l a s t n a n
múlasni	m u: l a s t n I
múlösnum	m u: l 9 s t n Y m
múrinn	m u: r I n
múrsteinum	m u r_0 s t ei n Y m
múskat	m u s k a t
múslima	m u s t l I m a
múslimar	m u s t l I m a r
múslimi	m u s t l I m I
múslíma	m u s t l i m a
músík	m u s i k
múta	m u: t a
mútur	m u: t Y r
mýfluga	m i: f l Y G a
mýkja	m i: c a
mýkri	m i: k r I
mýkt	m i x t
mýktist	m i x t I s t
mýrdal	m i r t a l
mýrdalshrepps	m i r t a l s r_0 E h p s
mýri	m i: r I
mýrum	m i: r Y m
mývatn	m i: v a h t n_0
mývatnssveit	m i: v a s v ei t
n	E n
nachos	n a t s j O s
nafar	n a: v a r
naflaskoðun	n a p l a s k O D Y n
naflastrengjum	n a p l a s t r ei J c Y m
nafli	n a p l I
nafn	n a p n_0
nafna	n a p n a
nafnalista	n a p n a l I s t a
nafngift	n a p n_0 c I f t
nafni	n a p n I
nafninu	n a p n I n Y
nafnið	n a p n I D
nafns	n a p n_0 s
nafnskírteinið	n a p n_0 s c i r_0 t ei n I D
nafnspjald	n a p n_0 s p j a l t
nafnspjaldið	n a p n_0 s p j a l t I D
nafnverði	n a p n_0 v E r D I
nafnvirði	n a p n_0 v I r D I
naga	n a: G a
nagdýr	n a: G t i r
nagladekk	n a k l a t E h k
nails	n ei l s
naked	n ei: c E t
nakti	n a x t I
naktir	n a x t I r
nam	n a: m
name	n ei: m
named	n ei: m t
names	n ei: m s
namibíu	n a: m I p i j Y
namm	n a m
nammi	n a m I
nammidagar	n a m I t a G a r
nammieitrun	n a m I ei t r Y n
nancy	n a n s i
nani	n a: n i
nankinefni	n a J c_h I n E p n I
nanna	n a n a
nantes	n a n t
napoli	n a: p_h ou l I
narta	n a r_0 t a
nasa	n a: s a
nasasjón	n a: s a s j ou n
nasdaq	n a s t a k
nasista	n a: s I s t a
nasri	n a s r i
nast	n a s t
natalie	n a t_h a l i
nathan	n ei: T a n
nation	n ei: s j O n
national	n a s j O n a l
nations	n ei: s j O n s
nato	n a t ou
natrín	n a: t r i n
natural	n a t_h j u r a l
naturally	n a t_h j u r a l i
nauman	n 9i: m a n
naumlega	n 9i m l E G a
naut	n 9i: t
nautahakki	n 9i: t a h a h c I
nautakjöt	n 9i: t a c_h 9 t
nautakjöti	n 9i: t a c_h 9 t I
nautakjöts	n 9i: t a c_h 9 t s
nauðasamninga	n 9i: D a s a m n i N k a
nauðga	n 9i D k a
nauðganir	n 9i D k a n I r
nauðgað	n 9i D k a D
nauðgun	n 9i D k Y n
nauðsyn	n 9i D s I n
nauðsynjar	n 9i D s I n j a r
nauðsynleg	n 9i D s I n l E G
nauðsynlega	n 9i D s I n l E G a
nauðsynlegar	n 9i D s I n l E G a r
nauðsynlegra	n 9i D s I n l E G r a
nauðsynlegt	n 9i D s I n l E x t
nauðsynlegum	n 9i D s I n l E G Y m
nauðsynlegur	n 9i D s I n l E G Y r
naðra	n a D r a
nba	E n p j E a
nbc	E n p j E s j E
near	n i: r
necessary	n E s E s E r i
need	n i: t
needed	n i: t E t
needs	n i: t s
nef	n E: v
nefbroddinn	n E v p r O t I n
nefi	n E: v I
nefið	n E: v I D
nefkirtla	n E f c_h I r_0 t l a
nefmæltur	n E v m ai l_0 t Y r
nefna	n E p n a
nefnast	n E p n a s t
nefnd	n E m t
nefnda	n E m t a
nefndan	n E m t a n
nefndar	n E m t a r
nefndarinnar	n E m t a r I n a r
nefndarmanna	n E m t a r m a n a
nefndarmenn	n E m t a r m E n
nefndarmönnum	n E m t a r m 9 n Y m
nefndarsetu	n E m t a r_0 s E t Y
nefndarálit	n E m t a r au l I t
nefndaráliti	n E m t a r au l I t I
nefndarálitinu	n E m t a r au l I t I n Y
nefndasæti	n E m t a s ai t I
nefndi	n E m t I
nefndin	n E m t I n
nefndina	n E m t I n a
nefndinni	n E m t I n I
nefndir	n E m t I r
nefndist	n E m t I s t
nefndra	n E m t r a
nefndu	n E m t Y
nefndum	n E m t Y m
nefndur	n E m t Y r
nefndust	n E m t Y s t
nefni	n E p n I
nefnilega	n E p n I l E G a
nefnir	n E p n I r
nefnist	n E p n I s t
nefnt	n E m_0 t
negative	n E k a t_h I v
neglt	n E l_0 t
nei	n ei:
neikvæð	n ei: k_h v ai D
neikvæða	n ei: k_h v ai D a
neikvæðan	n ei: k_h v ai D a n
neikvæðar	n ei k_h v ai D a r
neikvæðir	n ei: k_h v ai D I r
neikvæðri	n ei: k_h v ai D r I
neikvæðum	n ei: k_h v ai D Y m
neikvæður	n ei: k_h v ai D Y r
neil	n i l
nein	n ei: n
neina	n ei: n a
neinar	n ei: n a r
neinn	n ei t n_0
neinna	n ei t n a
neinnar	n ei t n a r
neinni	n ei t n I
neins	n ei n s
neinu	n ei: n Y
neinum	n ei: n Y m
neita	n ei: t a
neitandi	n ei: t a n t I
neitar	n ei: t a r
neitað	n ei: t a D
neitaði	n ei: t a D I
neiti	n ei: t I
neitt	n ei h t
neitun	n ei: t Y n
neituðu	n ei: t Y D Y
nekt	n E x t
nelson	n E l s O n
nema	n E: m a
nemakeppnir	n E: m a c_h E h p n I r
nemanda	n E: m a n t a
nemandi	n E: m a n t I
nemar	n E: m a r
nemenda	n E: m E n t a
nemendaverndar	n E: m E n t a v E r n t a r
nemendum	n E: m E n t Y m
nemendur	n E: m E n t Y r
nemendurnir	n E: m E n t Y r t n I r
nemi	n E: m I
nemur	n E: m Y r
nenna	n E n a
nenni	n E n I
nenntu	n E n_0 t Y
neo	n i: j ou
nepal	n E: p_h a l
neptúnusar	n E f t u n Y s a r
nes	n E: s
nesja	n E: s j a
neskaupstað	n E: s k_h 9i p s t a D
neskirkju	n E: s c_h I r_0 c Y
nest	n E s t
nesti	n E s t I
nesvegi	n E: s v ei j I
net	n E: t
netanyahu	n E t a n j a h u
netdoktor	n E: t O x t O r
netfang	n E: t f au N k
netfangið	n E: t f au J c I D
netflix	n E h t f l I k s
netföng	n E: t f 9i N k
netherlands	n E D E r l a n t s
nethjálp	n E: t C au l_0 p
netinu	n E: t I n Y
netið	n E: t I D
netkaffi	n E: t k_h a f I
netkaffisins	n E: t k_h a f I s I n s
netkaffið	n E: t k_h a f I D
netla	n E h t l a
netorku	n E: t O r_0 k Y
nets	n E t s
netsins	n E: t s I n s
nett	n E h t
nettó	n E h t ou
netverja	n E: t v E r j a
netverk	n E: t v E r_0 k
netverkefni	n E: t v E r_0 k E p n I
netverslun	n E: t v E r_0 s t l Y n
network	n E t v 9 r_0 k
netútgáfu	n E: t u t k au v Y
neutral	n j u: t_h r a l
neville	n E: v I l
newcastle	n j u: k_h a s u l
newspaper	n j u: s p_h ei p E r
next	n E k s t
neydd	n ei t
neyddist	n ei t I s t
neyddumst	n ei t Y m s t
neymar	n ei: m a r
neysla	n ei s t l a
neyslu	n ei s t l Y
neyslunni	n ei s t l Y n I
neyslutækjum	n ei s t l Y t_h ai c Y m
neysluverðs	n ei s t l Y v E r D s
neyta	n ei: t a
neytanda	n ei: t a n t a
neytandi	n ei: t a n t I
neytenda	n ei: t E n t a
neytendasamtakanna	n ei: t E n t a s a m t_h a k a n a
neytendasamtökin	n ei: t E n t a s a m t_h 9 c I n
neytendastofa	n ei: t E n t a s t O v a
neytendastofu	n ei: t E n t a s t O v Y
neytendum	n ei: t E n t Y m
neytendur	n ei: t E n t Y r
neytt	n ei h t
neyð	n ei: D
neyða	n ei: D a
neyðarathvarfsins	n ei: D a r a t k_h v a r f s I n s
neyðaraðstoð	n ei: D a r a D s t O D
neyðarhnappur	n ei: D a r_0 n_0 a h p Y r
neyðarlínuna	n ei: D a r l i n Y n a
neyðarmóttöku	n ei: D a r m ou t_h 9 k Y
neyðarástand	n ei: D a r au s t a n t
neyðarástandi	n ei: D a r au s t a n t I
neyðist	n ei: D I s t
neyðst	n ei D s t
neðan	n E: D a n
neðar	n E: D a r
neðra	n E D r a
neðri	n E D r I
neðst	n E D s t
neðsta	n E D s t a
neðstu	n E D s t Y
ni	n i:
nice	n ai: s
nick	n I h k
nico	n i k ou
nicolas	n I k ou l a s
nielsen	n i l s E n
nigel	n ai t j E l
night	n ai: t
nights	n ai: t s
nike	n ai: k
nikkuna	n I h k Y n a
nikola	n I k_h O l a
nils	n i l s
nine	n ai: n
nipple	n I h p u l
nissan	n I s a n
nixon	n I k s O n
niðdimm	n I D t I m
niðrandi	n I D r a n t I
niðri	n I D r I
niður	n I: D Y r
niðurdrepandi	n I: D Y r t r E p a n t I
niðurfellingu	n I: D Y r_0 f E t l i N k Y
niðurfærslu	n I: D Y r_0 f ai r_0 s t l Y
niðurgangi	n I: D Y r_0 k au J c I
niðurgangsins	n I: D Y r_0 k au N s I n s
niðurgangspest	n I: D Y r_0 k au N s p_h E s t
niðurgangspestir	n I: D Y r_0 k au N s p_h E s t I r
