a	aː
lemgo	l ɛ m k ou
lemja	l ɛ m j a
lemon	l ɛ m ɔ n
lena	l ɛː n a
lenda	l ɛ n t a
lendi	l ɛ n t ɪ
lending	l ɛ n t i ŋ k
lendingar	l ɛ n t i ŋ k a r
lendingu	l ɛ n t i ŋ k ʏ
lendir	l ɛ n t ɪ r
lendum	l ɛ n t ʏ m
lengd	l ei ŋ t
lengdar	l ei ŋ t a r
lengdinni	l ei ŋ t ɪ n ɪ
lengdist	l ei ŋ t ɪ s t
lengdur	l ei ŋ t ʏ r
lengdust	l ei ŋ t ʏ s t
lengi	l ei ɲ c ɪ
lenging	l ei ɲ c i ŋ k
lengingu	l ei ɲ c i ŋ k ʏ
lengir	l ei ɲ c ɪ r
lengist	l ei ɲ c ɪ s t
lengja	l ei ɲ c a
lengjubikar	l ei ɲ c ʏ p ɪ k a r
lengjubikarnum	l ei ɲ c ʏ p ɪ k a r t n ʏ m
lengjubikarsins	l ei ɲ c ʏ p ɪ k a r̥ s ɪ n s
lengra	l ei ŋ k r a
lengri	l ei ŋ k r ɪ
lengsta	l ei ŋ s t a
lengstra	l ei ŋ s t r a
lengstu	l ei ŋ s t ʏ
lengstum	l ei ŋ s t ʏ m
lengstur	l ei ŋ s t ʏ r
lengt	l ei ŋ̊ t
lengur	l ei ŋ k ʏ r
lennart	l ɛ n a r̥ t
lennon	l ɛ n ɔ n
lens	l ɛ n s
lent	l ɛ n̥ t
lenti	l ɛ n̥ t ɪ
lentu	l ɛ n̥ t ʏ
lentum	l ɛ n̥ t ʏ m
leo	l ɛː ou
leon	l ɛː ɔ n
leonard	l ɛ ɔ n a r t
leonardo	l ɛ ɔ n a r t ou
leone	l ɛː ɔ n ɛ
lepja	l ɛː p j a
leppana	l ɛ h p a n a
lerki	l ɛ r̥ c ɪ
leroy	l iː r ɔi
les	l ʏ
lesa	l ɛː s a
lesanda	l ɛː s a n t a
lesandann	l ɛː s a n t a n
lesandanum	l ɛː s a n t a n ʏ m
lesandi	l ɛː s a n t ɪ
lesandinn	l ɛː s a n t ɪ n
lesblindur	l ɛː s p l ɪ n t ʏ r
lesbía	l ɛ s p i j a
lesbók	l ɛː s p ou k
lesefni	l ɛː s ɛ p n ɪ
lesenda	l ɛː s ɛ n t a
lesendum	l ɛː s ɛ n t ʏ m
lesendur	l ɛː s ɛ n t ʏ r
lesi	l ɛː s ɪ
lesin	l ɛː s ɪ n
lesinn	l ɛː s ɪ n
lesið	l ɛː s ɪ ð
lesna	l ɛ s t n a
lesnar	l ɛ s t n a r
lesning	l ɛ s t n i ŋ k
less	l ɛ s
lest	l ɛ s t
lestarinnar	l ɛ s t a r ɪ n a r
lestarklefanum	l ɛ s t a r̥ kʰ l ɛ v a n ʏ m
lestarlúgu	l ɛ s t a r l u ɣ ʏ
lestarstjórinn	l ɛ s t a r̥ s t j ou r ɪ n
lestin	l ɛ s t ɪ n
lestina	l ɛ s t ɪ n a
lestinni	l ɛ s t ɪ n ɪ
lestir	l ɛ s t ɪ r
lestri	l ɛ s t r ɪ
lestu	l ɛ s t ʏ
lestum	l ɛ s t ʏ m
lestur	l ɛ s t ʏ r
lesturinn	l ɛ s t ʏ r ɪ n
lesum	l ɛː s ʏ m
let	l ɛ t
let's	l ɛ t s
leti	l ɛː t ɪ
letri	l ɛː t r ɪ
letrið	l ɛː t r ɪ ð
lets	l ɛ t s
letter	l ɛ h t ɛ r
letters	l ɛ h t ɛ r̥ s
lettlandi	l ɛ h t l a n t ɪ
lettlands	l ɛ h t l a n t s
levante	l ɛː v a n̥ t ɛ
levels	l ɛ v ɛ l s
leverkusen	l ɛː v ɛ r kʰ ʏ s ɛ n
levy	l ɛː v i
leví	l ɛː v i
lewandowski	l ɛ v a n t ɔ v s c i
lewis	l uː ɪ s
lex	l ɛ k s
lexus	l ɛ k s u s
lexíu	l ɛ k s i j ʏ
leyfa	l eiː v a
leyfi	l eiː v ɪ
leyfilegt	l eiː v ɪ l ɛ x t
leyfilegum	l eiː v ɪ l ɛ ɣ ʏ m
leyfilegur	l eiː v ɪ l ɛ ɣ ʏ r
leyfin	l eiː v ɪ n
leyfir	l eiː v ɪ r
leyfis	l eiː v ɪ s
leyfishafa	l eiː v ɪ s h a v a
leyfisleysi	l eiː v ɪ s t l ei s ɪ
leyfisveitingar	l eiː v ɪ s v ei t i ŋ k a r
leyfið	l eiː v ɪ ð
leyft	l ei f t
leyfum	l eiː v ʏ m
leyfð	l ei v ð
leyfðar	l ei v ð a r
leyfði	l ei v ð ɪ
leyfðir	l ei v ð ɪ r
leyfðu	l ei v ð ʏ
leyfður	l ei v ð ʏ r
leyna	l eiː n a
leynast	l eiː n a s t
leyndarmál	l ei n t a r m au l
leyndarskráningu	l ei n t a r̥ s k r au n i ŋ k ʏ
leyndi	l ei n t ɪ
leyndu	l ei n t ʏ
leyndum	l ei n t ʏ m
leyni	l eiː n ɪ
leynilegt	l eiː n ɪ l ɛ x t
leynilögregluna	l eiː n ɪ l œ ɣ r ɛ k l ʏ n a
leynilögreglustjórans	l eiː n ɪ l œ ɣ r ɛ k l ʏ s t j ou r a n s
leynir	l eiː n ɪ r
leynist	l eiː n ɪ s t
leyniþjónustan	l eiː n ɪ θ j ou n ʏ s t a n
leyniþjónustu	l eiː n ɪ θ j ou n ʏ s t ʏ
leyniþjónustunnar	l eiː n ɪ θ j ou n ʏ s t ʏ n a r
leynst	l ei n s t
leynt	l ei n̥ t
leysa	l eiː s a
leysast	l eiː s a s t
leysi	l eiː s ɪ
leysist	l eiː s ɪ s t
leyst	l ei s t
leysti	l ei s t ɪ
leystir	l ei s t ɪ r
leystist	l ei s t ɪ s t
leystu	l ei s t ʏ
leystur	l ei s t ʏ r
leyti	l eiː t ɪ
leytinu	l eiː t ɪ n ʏ
leytið	l eiː t ɪ ð
leður	l ɛː ð ʏ r
leðurblökuungi	l ɛː ð ʏ r̥ p l œ k ʏ u ɲ c ɪ
leðurblöðkumynd	l ɛː ð ʏ r̥ p l œ θ k ʏ m ɪ n t
leðurhúfan	l ɛː ð ʏ r̥ h u v a n
leðurjakkanum	l ɛː ð ʏ r j a h k a n ʏ m
leðurpakki	l ɛː ð ʏ r̥ pʰ a h c ɪ
leðursófa	l ɛː ð ʏ r̥ s ou f a
leðursófana	l ɛː ð ʏ r̥ s ou f a n a
leðursófann	l ɛː ð ʏ r̥ s ou f a n
leðursófanum	l ɛː ð ʏ r̥ s ou f a n ʏ m
leðursófar	l ɛː ð ʏ r̥ s ou f a r
leðursófi	l ɛː ð ʏ r̥ s ou f ɪ
leðursófinn	l ɛː ð ʏ r̥ s ou f ɪ n
leðursófum	l ɛː ð ʏ r̥ s ou f ʏ m
leó	l ɛː ou
leósdóttir	l ɛː ou s t ou h t ɪ r
leósson	l ɛː ou s ɔ n
li	l iː
liam	l iː j a m
library	l ai p r a r i
lie	l aiː
liechtensteinskir	l ɪ ç t ɛ n s t ei n s k ɪ r
liechtensteinskra	l ɪ ç t ɛ n s t ei n s k r a
liechtensteinskum	l ɪ ç t ɛ n s t ei n s k ʏ m
lies	l aiː s
lifa	l ɪː v a
lifandi	l ɪː v a n t ɪ
lifað	l ɪː v a ð
life	l aiː f
lifi	l ɪː v ɪ
lifir	l ɪː v ɪ r
lifna	l ɪ p n a
lifrarbólgu	l ɪ v r a r p ou l k ʏ
lifrarpylsu	l ɪ v r a r̥ pʰ ɪ l s ʏ
lifum	l ɪː v ʏ m
lifði	l ɪ v ð ɪ
lifðu	l ɪ v ð ʏ
liga	l iː k a
ligg	l ɪ k
liggi	l ɪ c ɪ
liggja	l ɪ c a
liggjandi	l ɪ c a n t ɪ
liggjum	l ɪ c ʏ m
liggur	l ɪ k ʏ r
liggðu	l ɪ ɣ ð ʏ
light	l aiː t
lighthouse	l aiː t h au s
lightning	l aiː t n i ŋ
lights	l aiː t s
like	l aiː k
likely	l aiː k l i
likes	l aiː k s
lilju	l ɪ l j ʏ
lilla	l ɪ l a
lillablá	l ɪ l a p l au
lillabláa	l ɪ l a p l au a
lillabláan	l ɪ l a p l au a n
lillabláar	l ɪ l a p l au a r
lillablái	l ɪ l a p l au ɪ
lillabláir	l ɪ l a p l au ɪ r
lillablár	l ɪ l a p l au r
lillablárra	l ɪ l a p l au r a
lillablárrar	l ɪ l a p l au r a r
lillablárri	l ɪ l a p l au r ɪ
lillablás	l ɪ l a p l au s
lillablátt	l ɪ l a p l au h t
lillabláu	l ɪ l a p l au ʏ
lillabláum	l ɪ l a p l au ʏ m
lillabláust	l ɪ l a p l au ʏ s t
lillan	l ɪ l a n
lillanum	l ɪ l a n ʏ m
lille	l ɪ l ɛ
lilleström	l ɪ l ɛ s t r œ m
lilli	l ɪ l ɪ
lillu	l ɪ l ʏ
lillur	l ɪ l ʏ r
lillý	l ɪ l i
limit	l ɪ m ɪ t
limited	l ɪ m ɪ t ɛ t
limman	l ɪ m a n
limmu	l ɪ m ʏ
limmuna	l ɪ m ʏ n a
lina	l ɪː n a
lincoln	l i ŋ kʰ ɔ n
lind	l ɪ n t
linda	l ɪ n t a
lindargötu	l ɪ n t a r k œ t ʏ
lindasókn	l ɪ n t a s ou h k n̥
lindberg	l ɪ n t p ɛ r k
lindsay	l ɪ n t s i
lindu	l ɪ n t ʏ
lindubuff	l ɪ n t ʏ p ʏ f
line	l aiː n
liner	l aiː n ɛ r
lingard	l i ŋ k a r t
lingus	l i ŋ k u s
linings	l aiː n i ŋ s
link	l i ŋ̊ k
linka	l i ŋ̊ k a
linkedin	l i ŋ̊ k t ɪ n
linkind	l i n cʰ ɪ n t
linkur	l i ŋ̊ k ʏ r
linköping	l ɪ n s j œ p i ŋ
linni	l ɪ n ɪ
linnulaust	l ɪ n ʏ l œy s t
lint	l ɪ n̥ t
linur	l ɪː n ʏ r
lion	l ai j ɔ n
lionel	l ai ɔ n ɛ l
lip	l ɪ p
lippu	l ɪ h p ʏ
lipran	l ɪː p r a n
liprari	l ɪː p r a r ɪ
lips	l ɪ p s
lipur	l ɪː p ʏ r
lisa	l iː s a
lissabon	l ɪ s a p ɔ n
list	l ɪ s t
lista	l ɪ s t a
listafólki	l ɪ s t a f ou l̥ c ɪ
listaháskóla	l ɪ s t a h au s k ou l a
listaháskólanum	l ɪ s t a h au s k ou l a n ʏ m
listahátíð	l ɪ s t a h au tʰ i ð
listahátíðar	l ɪ s t a h au tʰ i ð a r
listaklúbbi	l ɪ s t a kʰ l u p ɪ
listakona	l ɪ s t a kʰ ɔ n a
listakonan	l ɪ s t a kʰ ɔ n a n
listamann	l ɪ s t a m a n
listamanna	l ɪ s t a m a n a
listamannanna	l ɪ s t a m a n a n a
listamanninn	l ɪ s t a m a n ɪ n
listamanninum	l ɪ s t a m a n ɪ n ʏ m
listamanns	l ɪ s t a m a n s
listamannsins	l ɪ s t a m a n s ɪ n s
listamaður	l ɪ s t a m a ð ʏ r
listamaðurinn	l ɪ s t a m a ð ʏ r ɪ n
listamenn	l ɪ s t a m ɛ n
listamennirnir	l ɪ s t a m ɛ n ɪ r t n ɪ r
listamönnum	l ɪ s t a m œ n ʏ m
listamönnunum	l ɪ s t a m œ n ɔ n ʏ m
listann	l ɪ s t a n
listanna	l ɪ s t a n a
listans	l ɪ s t a n s
listanum	l ɪ s t a n ʏ m
listar	l ɪ s t a r
listarinnar	l ɪ s t a r ɪ n a r
listasafn	l ɪ s t a s a p n̥
listasafni	l ɪ s t a s a p n ɪ
listasafninu	l ɪ s t a s a p n ɪ n ʏ
listasafnið	l ɪ s t a s a p n ɪ ð
listasafns	l ɪ s t a s a p n̥ s
listasafnsins	l ɪ s t a s a p n̥ s ɪ n s
listastofnun	l ɪ s t a s t ɔ p n ʏ n
listavefurinn	l ɪ s t a v ɛ v ʏ r ɪ n
listaverk	l ɪ s t a v ɛ r̥ k
listaverkabækur	l ɪ s t a v ɛ r̥ k a p ai k ʏ r
listaverkið	l ɪ s t a v ɛ r̥ c ɪ ð
listaverkum	l ɪ s t a v ɛ r̥ k ʏ m
listen	l ɪ s ɛ n
listfengi	l ɪ s t f ei ɲ c ɪ
listi	l ɪ s t ɪ
listin	l ɪ s t ɪ n
listina	l ɪ s t ɪ n a
listinn	l ɪ s t ɪ n
listinni	l ɪ s t ɪ n ɪ
listir	l ɪ s t ɪ r
listmálari	l ɪ s t m au l a r ɪ
listnám	l ɪ s t n au m
listræn	l ɪ s t r ai n
listræna	l ɪ s t r ai n a
listrænan	l ɪ s t r ai n a n
listrænn	l ɪ s t r ai t n̥
listrænni	l ɪ s t r ai t n ɪ
listrænt	l ɪ s t r ai n̥ t
listsköpun	l ɪ s t s k œ p ʏ n
listsköpunar	l ɪ s t s k œ p ʏ n a r
listum	l ɪ s t ʏ m
lit	l ɪː t
lita	l ɪː t a
litar	l ɪː t a r
litarendurgjafarstuðul	l ɪː t a r ɛ n t ʏ r c a v a r̥ s t ʏ ð ʏ l
litarhætti	l ɪː t a r̥ h ai h t ɪ
litarmerkingu	l ɪː t a r m ɛ r̥ c i ŋ k ʏ
litasamsetningin	l ɪː t a s a m s ɛ h t n i ɲ c ɪ n
litast	l ɪː t a s t
litað	l ɪː t a ð
litbrigði	l ɪ t p r ɪ ɣ ð ɪ
litfagurt	l ɪ t f a ɣ ʏ r̥ t
litháa	l ɪ t h au a
litháana	l ɪː t h au a n a
litháanna	l ɪː t h au a n a
litháar	l ɪ t h au a r
litháarnir	l ɪː t h au a r t n ɪ r
litháen	l ɪː t h au ɛ n
litháens	l ɪ t h au ɛ n s
lithái	l ɪː t h au ɪ
litháska	l ɪː t h au s k a
litháskir	l ɪː t h au s c ɪ r
lithásku	l ɪː t h au s k ʏ
litháskum	l ɪː t h au s k ʏ m
litháum	l ɪː t h au ʏ m
litháísk	l ɪː t h au i s k
litháíska	l ɪː t h au i s k a
litháískan	l ɪː t h au i s k a n
litháískar	l ɪː t h au i s k a r
litháíski	l ɪː t h au i s c ɪ
litháískir	l ɪː t h au i s c ɪ r
litháískra	l ɪː t h au i s k r a
litháískrar	l ɪː t h au i s k r a r
litháískri	l ɪː t h au i s k r ɪ
litháísks	l ɪː t h au i s k s
litháískt	l ɪː t h au i s t
litháísku	l ɪː t h au i s k ʏ
litháískum	l ɪː t h au i s k ʏ m
litháískur	l ɪː t h au i s k ʏ r
litinn	l ɪː t ɪ n
litir	l ɪː t ɪ r
litirnir	l ɪː t ɪ r t n ɪ r
litist	l ɪː t ɪ s t
litið	l ɪː t ɪ ð
litla	l ɪ h t l a
litlar	l ɪ h t l a r
litli	l ɪ h t l ɪ
litlir	l ɪ h t l ɪ r
litlu	l ɪ h t l ʏ
litlubrú	l ɪ h t l ʏ p r u
litlum	l ɪ h t l ʏ m
litninga	l ɪ h t n i ŋ k a
litningur	l ɪ h t n i ŋ k ʏ r
litnum	l ɪ h t n ʏ m
litrík	l ɪː t r i k
litríka	l ɪː t r i k a
litríkastir	l ɪː t r i k a s t ɪ r
litríku	l ɪː t r i k ʏ
litríkum	l ɪː t r i k ʏ m
litríkur	l ɪː t r i k ʏ r
litróf	l ɪː t r ou f
litrófi	l ɪː t r ou v ɪ
litrófs	l ɪː t r ou f s
litrófsgreiningu	l ɪː t r ou f s k r ei n i ŋ k ʏ
little	l ɪ h t œ l
litu	l ɪː t ʏ
litur	l ɪː t ʏ r
liturinn	l ɪː t ʏ r ɪ n
liu	l i j u
liv	l ɪː v
live	l aiː v
lived	l ɪ v t
liver	l ɪ v ɛ r
liverpool	l ɪː v ɛ r̥ pʰ u l
lives	l aiː v s
livorno	l iː v ɔ r n ou
lið	l ɪː ð
liða	l ɪː ð a
liðagigt	l ɪː ð a c ɪ x t
liðagigtar	l ɪː ð a c ɪ x t a r
liðakeppni	l ɪː ð a cʰ ɛ h p n ɪ
liðanna	l ɪː ð a n a
liðar	l ɪː ð a r
liðhlaupar	l ɪ ð l̥ œy p a r
liði	l ɪː ð ɪ
liðin	l ɪː ð ɪ n
liðinn	l ɪː ð ɪ n
liðinna	l ɪː ð ɪ n a
liðinnar	l ɪː ð ɪ n a r
liðinni	l ɪː ð ɪ n ɪ
liðins	l ɪː ð ɪ n s
liðinu	l ɪː ð ɪ n ʏ
liðir	l ɪː ð ɪ r
liðið	l ɪː ð ɪ ð
liðka	l ɪ θ k a
liðlega	l ɪ ð l ɛ ɣ a
liðna	l ɪ ð n a
liðnar	l ɪ ð n a r
liðnir	l ɪ ð n ɪ r
liðnu	l ɪ ð n ʏ
liðnum	l ɪ ð n ʏ m
liðs	l ɪ ð s
liðsauka	l ɪ ð s œy k a
liðsforingjann	l ɪ ð s f ɔ r i ɲ c a n
liðsfélaga	l ɪ ð s f j ɛ l a ɣ a
liðsfélagar	l ɪ ð s f j ɛ l a ɣ a r
liðsfélagi	l ɪ ð s f j ɛ l ai j ɪ
liðsfélögum	l ɪ ð s f j ɛ l œ ɣ ʏ m
liðsheild	l ɪ ð s h ei l t
liðsheildin	l ɪ ð s h ei l t ɪ n
liðsinni	l ɪ ð s ɪ n ɪ
liðsins	l ɪ ð s ɪ n s
liðsmanna	l ɪ ð s m a n a
liðsmaður	l ɪ ð s m a ð ʏ r
liðsmenn	l ɪ ð s m ɛ n
liðsmönnum	l ɪ ð s m œ n ʏ m
liðsstjóri	l ɪ ð s t j ou r ɪ
liðsstyrk	l ɪ ð s t ɪ r̥ k
liðu	l ɪː ð ʏ
liðugir	l ɪː ð ʏi j ɪ r
liðum	l ɪː ð ʏ m
liðunum	l ɪː ð ɔ n ʏ m
liður	l ɪː ð ʏ r
liðurinn	l ɪː ð ʏ r ɪ n
ljungberg	l j ʏ ŋ k p ɛ r k
ljóma	l j ouː m a
ljómandi	l j ouː m a n t ɪ
ljóminn	l j ouː m ɪ n
ljón	l j ouː n
ljónshjarta	l j ou n s ç a r̥ t a
ljós	l j ouː s
ljósa	l j ouː s a
ljósafoss	l j ouː s a f ɔ s
ljósanótt	l j ouː s a n ou h t
ljósar	l j ouː s a r
ljósara	l j ouː s a r a
ljósaskiptunum	l j ouː s a s c ɪ f t ɔ n ʏ m
ljósastaur	l j ouː s a s t œy r
ljóseinkenni	l j ouː s ei ɲ cʰ ɛ n ɪ
ljósi	l j ouː s ɪ
ljósin	l j ouː s ɪ n
ljósinu	l j ouː s ɪ n ʏ
ljósið	l j ouː s ɪ ð
ljóslaust	l j ouː s t l œy s t
ljóslega	l j ouː s t l ɛ ɣ a
ljósleiðara	l j ou s t l ei ð a r a
ljóslifandi	l j ou s t l ɪ v a n t ɪ
ljósmynd	l j ou s m ɪ n t
ljósmynda	l j ou s m ɪ n t a
ljósmyndara	l j ou s m ɪ n t a r a
ljósmyndarar	l j ou s m ɪ n t a r a r
ljósmyndari	l j ou s m ɪ n t a r ɪ
ljósmyndarinn	l j ou s m ɪ n t a r ɪ n
ljósmyndasafns	l j ou s m ɪ n t a s a p n̥ s
ljósmyndasýning	l j ou s m ɪ n t a s i n i ŋ k
ljósmyndir	l j ou s m ɪ n t ɪ r
ljósmyndum	l j ou s m ɪ n t ʏ m
ljósmyndun	l j ou s m ɪ n t ʏ n
ljósmyndunarrúnt	l j ou s m ɪ n t ʏ n a r u n̥ t
ljósmæðra	l j ou s m ai ð r a
ljósmæður	l j ou s m ai ð ʏ r
ljósmóðir	l j ou s m ou ð ɪ r
ljósrauðu	l j ou s r œy ð ʏ
ljósrauðum	l j ou s r œy ð ʏ m
ljósri	l j ou s r ɪ
ljósrit	l j ou s r ɪ t
ljósritunarvélar	l j ou s r ɪ t ʏ n a r v j ɛ l a r
ljósrofnun	l j ou s r ɔ p n ʏ n
ljóss	l j ou s
ljóssins	l j ou s ɪ n s
ljóst	l j ou s t
ljósum	l j ouː s ʏ m
ljósvakans	l j ou s v a k a n s
ljósvallagötuna	l j ou s v a t l a k œ t ʏ n a
ljósvallagötunni	l j ou s v a t l a k œ t ʏ n ɪ
ljósviti	l j ou s v ɪ t ɪ
ljót	l j ouː t
ljóta	l j ouː t a
ljótari	l j ouː t a r ɪ
ljótt	l j ou h t
ljótur	l j ouː t ʏ r
ljóð	l j ouː ð
ljóða	l j ouː ð a
ljóðabækur	l j ouː ð a p ai k ʏ r
ljóðabók	l j ouː ð a p ou k
ljóði	l j ouː ð ɪ
ljóðin	l j ouː ð ɪ n
ljóðinu	l j ouː ð ɪ n ʏ
ljóðið	l j ouː ð ɪ ð
ljóðum	l j ouː ð ʏ m
ljúf	l j uː v
ljúfa	l j uː v a
ljúfar	l j uː v a r
ljúfasta	l j uː v a s t a
ljúffeng	l j u f ei ŋ k
ljúffengar	l j u f ei ŋ k a r
ljúffengum	l j u f ei ŋ k ʏ m
ljúfi	l j uː v ɪ
ljúfir	l j uː v ɪ r
ljúfling	l j u v l i ŋ k
ljúflinga	l j u v l i ŋ k a
ljúflingar	l j u v l i ŋ k a r
ljúflingarnir	l j u v l i ŋ k a r t n ɪ r
ljúflinginn	l j u v l i ɲ c ɪ n
ljúflingsins	l j u v l i ŋ s ɪ n s
ljúflingur	l j u v l i ŋ k ʏ r
ljúflingurinn	l j u v l i ŋ k ʏ r ɪ n
ljúfs	l j u f s
ljúft	l j u f t
ljúfu	l j uː v ʏ
ljúfum	l j uː v ʏ m
ljúfur	l j uː v ʏ r
ljúga	l j uː ɣ a
ljúka	l j uː k a
ljúki	l j uː c ɪ
ljúktu	l j u x t ʏ
llorente	j ɔ r ɛ n̥ t ɛ
lloris	l ɔ r i s
lloyd	l ɔi t
loan	l ouː n
loans	l ouː n s
lobster	l ɔ p s t ɛ r
local	l ouː k a l
locals	l ouː k a l s
locker	l ɔ h k ɛ r
loeb	l œ p
lof	l ɔː v
lofa	l ɔː v a
lofar	l ɔː v a r
lofað	l ɔː v a ð
lofaði	l ɔː v a ð ɪ
lofgjörð	l ɔ v c œ r ð
lofi	l ɔː v ɪ
loforð	l ɔː v ɔ r ð
loforða	l ɔː v ɔ r ð a
loforði	l ɔː v ɔ r ð ɪ
loforðin	l ɔː v ɔ r ð ɪ n
loforðum	l ɔː v ɔ r ð ʏ m
lofsamlega	l ɔ f s a m l ɛ ɣ a
loft	l ɔ f t
lofta	l ɔ f t a
loftfarinu	l ɔ f t f a r ɪ n ʏ
loftfirrðrar	l ɔ f t f ɪ r ð r a r
loftflæðiuppsetningar	l ɔ f t f l ai ð ɪ ʏ h p s ɛ h t n i ŋ k a r
loftgæði	l ɔ f t c ai ð ɪ
lofthelgi	l ɔ f t h ɛ l c ɪ
lofthjúpnum	l ɔ f t ç u h p n ʏ m
lofthjúpur	l ɔ f t ç u p ʏ r
lofthræddur	l ɔ f t r̥ ai t ʏ r
lofti	l ɔ f t ɪ
loftinu	l ɔ f t ɪ n ʏ
loftið	l ɔ f t ɪ ð
loftleiðir	l ɔ f t l ei ð ɪ r
loftleiðum	l ɔ f t l ei ð ʏ m
loftleki	l ɔ f t l ɛ c ɪ
loftljósið	l ɔ f t l j ou s ɪ ð
loftmengun	l ɔ f t m ei ŋ k ʏ n
loftsal	l ɔ f t s a l
loftsalurinn	l ɔ f t s a l ʏ r ɪ n
loftsdóttir	l ɔ f t s t ou h t ɪ r
loftsins	l ɔ f t s ɪ n s
loftskipti	l ɔ f t s c ɪ f t ɪ
loftslag	l ɔ f t s t l a ɣ
loftslagi	l ɔ f t s t l ai j ɪ
loftslagsbreyting	l ɔ f t s t l a x s p r ei t i ŋ k
loftslagsbreytinga	l ɔ f t s t l a x s p r ei t i ŋ k a
loftslagsbreytingar	l ɔ f t s t l a x s p r ei t i ŋ k a r
loftslagsbreytingum	l ɔ f t s t l a x s p r ei t i ŋ k ʏ m
loftslagsins	l ɔ f t s t l a x s ɪ n s
loftslagsmál	l ɔ f t s t l a x s m au l
loftslagsmálum	l ɔ f t s t l a x s m au l ʏ m
loftsson	l ɔ f t s ɔ n
loftur	l ɔ f t ʏ r
loftárás	l ɔ f t au r au s
loftárásir	l ɔ f t au r au s ɪ r
loftárásum	l ɔ f t au r au s ʏ m
lofum	l ɔː v ʏ m
lofuðu	l ɔː v ʏ ð ʏ
loga	l ɔː ɣ a
logadóttir	l ɔː ɣ a t ou h t ɪ r
logandi	l ɔː ɣ a n t ɪ
logann	l ɔː ɣ a n
logar	l ɔː ɣ a r
logarnir	l ɔː ɣ a r t n ɪ r
logaði	l ɔː ɣ a ð ɪ
loggaði	l ɔ k a ð ɪ
logið	l ɔi j ɪ ð
logn	l ɔ k n̥
lognmolla	l ɔ k n m ɔ t l a
lognmollan	l ɔ k n m ɔ t l a n
lognmollu	l ɔ k n m ɔ t l ʏ
lognmolluna	l ɔ k n m ɔ t l ʏ n a
lognmollunnar	l ɔ k n m ɔ t l ʏ n a r
lognmollunni	l ɔ k n m ɔ t l ʏ n ɪ
logos	l ouː k ɔ s
lohan	l ouː h a n
lok	l ɔː k
loka	l ɔː k a
lokaafgreiðslu	l ɔː k a a v k r ei ð s t l ʏ
lokaball	l ɔː k a p a l
lokaballa	l ɔː k a p a l a
lokaballanna	l ɔː k a p a l a n a
lokaballi	l ɔː k a p a l ɪ
lokaballinu	l ɔː k a p a l ɪ n ʏ
lokaballið	l ɔː k a p a l ɪ ð
lokaballs	l ɔː k a p a l s
lokaballsins	l ɔː k a p a l s ɪ n s
lokaböll	l ɔː k a p œ l
lokaböllin	l ɔː k a p œ l ɪ n
lokaböllum	l ɔː k a p œ l ʏ m
lokaböllunum	l ɔː k a p œ l ɔ n ʏ m
lokadegi	l ɔː k a t ei j ɪ
lokadeginum	l ɔː k a t ei j ɪ n ʏ m
lokagengi	l ɔː k a c ei ɲ c ɪ
lokagildi	l ɔː k a c ɪ l t ɪ
lokahnykkinn	l ɔː k a n̥ ɪ h c ɪ n
lokahringinn	l ɔː k a r̥ i ɲ c ɪ n
lokahófi	l ɔː k a h ou v ɪ
lokahönd	l ɔː k a h œ n t
lokakafla	l ɔː k a kʰ a p l a
lokakaflanum	l ɔː k a kʰ a p l a n ʏ m
lokakeppni	l ɔː k a cʰ ɛ h p n ɪ
lokakeppnina	l ɔː k a cʰ ɛ h p n ɪ n a
lokaleik	l ɔː k a l ei k
lokametrunum	l ɔː k a m ɛ t r ɔ n ʏ m
lokamínútu	l ɔː k a m i n u t ʏ
lokamínútum	l ɔː k a m i n u t ʏ m
lokamínútunni	l ɔː k a m i n u t ʏ n ɪ
lokamínútunum	l ɔː k a m i n u t ɔ n ʏ m
lokanir	l ɔː k a n ɪ r
lokaorð	l ɔː k a ɔ r ð
lokar	l ɔː k a r
lokaskýrslum	l ɔː k a s c i r̥ s t l ʏ m
lokasprettinum	l ɔː k a s p r ɛ h t ɪ n ʏ m
lokast	l ɔː k a s t
lokastaða	l ɔː k a s t a ð a
lokastaðan	l ɔː k a s t a ð a n
lokastigi	l ɔː k a s t i j ɪ
lokatölur	l ɔː k a tʰ œ l ʏ r
lokaumferð	l ɔː k a ʏ m f ɛ r ð
lokaumferðina	l ɔː k a ʏ m f ɛ r ð ɪ n a
lokaumferðinni	l ɔː k a ʏ m f ɛ r ð ɪ n ɪ
lokaverkefni	l ɔː k a v ɛ r̥ k ɛ p n ɪ
lokað	l ɔː k a ð
lokaða	l ɔː k a ð a
lokaðar	l ɔː k a ð a r
lokaði	l ɔː k a ð ɪ
lokaðir	l ɔː k a ð ɪ r
lokaður	l ɔː k a ð ʏ r
lokaþáttur	l ɔː k a θ au h t ʏ r
loki	l ɔː c ɪ
lokin	l ɔː c ɪ n
lokinn	l ɔː c ɪ n
lokinni	l ɔː c ɪ n ɪ
lokið	l ɔː c ɪ ð
lokka	l ɔ h k a
lokkana	l ɔ h k a n a
lokkandi	l ɔ h k a n t ɪ
lokkur	l ɔ h k ʏ r
loknu	l ɔ h k n ʏ
loknum	l ɔ h k n ʏ m
lokomotiv	l ouː k ou m ou t ɪ v
loks	l ɔ k s
loksins	l ɔ k s ɪ n s
loku	l ɔː k ʏ
